date,hospital_id,procedure,cash,gross,pct_change
2026-08-17,ccn-050002,biopsy-needle,1716,5720,
2026-08-17,ccn-050002,blood-cbc,8,25,
2026-08-17,ccn-050002,blood-metabolic,133,443,
2026-08-17,ccn-050002,cardiac-cath,9638,32126,
2026-08-17,ccn-050002,cast-fracture,284,947,
2026-08-17,ccn-050002,chemo-infusion,358,1195,
2026-08-17,ccn-050002,chest-xray,98,326,
2026-08-17,ccn-050002,ct-abd-pelvis,1849,6164,
2026-08-17,ccn-050002,ct-head,1197,3990,
2026-08-17,ccn-050002,dialysis,740,2465,
2026-08-17,ccn-050002,echocardiogram,1319,4397,
2026-08-17,ccn-050002,epidural-inj,732,2440,
2026-08-17,ccn-050002,er-level3,520,1732,
2026-08-17,ccn-050002,er-level4,822,2742,
2026-08-17,ccn-050002,er-level5,1273,4242,
2026-08-17,ccn-050002,iv-hydration,227,756,
2026-08-17,ccn-050002,iv-infusion,387,1290,
2026-08-17,ccn-050002,joint-injection,328,1093,
2026-08-17,ccn-050002,laceration,212,706,
2026-08-17,ccn-050002,mammogram-diag,125,418,
2026-08-17,ccn-050002,mammogram-screen,129,428,
2026-08-17,ccn-050002,mri-brain,900,3000,
2026-08-17,ccn-050002,mri-knee,899,2997,
2026-08-17,ccn-050002,mri-spine,900,3000,
2026-08-17,ccn-050002,physical-therapy,76,252,
2026-08-17,ccn-050002,strep-test,26,86,
2026-08-17,ccn-050002,thyroid-us,125,416,
2026-08-17,ccn-050002,us-abdomen,760,2534,
2026-08-17,ccn-050002,us-pregnancy,125,416,
2026-08-17,ccn-050002,xray-extremity,301,1003,
2026-08-17,ccn-050002,xray-leg,266,887,
2026-08-17,ccn-050006,biopsy-needle,4007,7857,
2026-08-17,ccn-050006,blood-cbc,2,4,
2026-08-17,ccn-050006,blood-metabolic,15,30,
2026-08-17,ccn-050006,cardiac-cath,10281,20159,
2026-08-17,ccn-050006,carpal-tunnel,4070,7981,
2026-08-17,ccn-050006,cast-fracture,1116,2189,
2026-08-17,ccn-050006,chemo-infusion,1275,2500,
2026-08-17,ccn-050006,chest-xray,1084,2125,
2026-08-17,ccn-050006,colonoscopy,1268,2486,
2026-08-17,ccn-050006,ct-abd-pelvis,6375,12500,
2026-08-17,ccn-050006,ct-head,2066,4050,
2026-08-17,ccn-050006,dialysis,1135,2226,
2026-08-17,ccn-050006,echocardiogram,2082,4082,
2026-08-17,ccn-050006,endoscopy,1260,2470,
2026-08-17,ccn-050006,epidural-inj,7226,14168,
2026-08-17,ccn-050006,er-level3,449,880,
2026-08-17,ccn-050006,er-level4,699,1370,
2026-08-17,ccn-050006,er-level5,1004,1968,
2026-08-17,ccn-050006,hernia-repair,8020,15726,
2026-08-17,ccn-050006,iud-insertion,7910,15510,
2026-08-17,ccn-050006,iv-hydration,1007,1975,
2026-08-17,ccn-050006,iv-infusion,1226,2404,
2026-08-17,ccn-050006,joint-injection,7589,14880,
2026-08-17,ccn-050006,laceration,1313,2574,
2026-08-17,ccn-050006,mammogram-diag,492,965,
2026-08-17,ccn-050006,mammogram-screen,501,982,
2026-08-17,ccn-050006,mri-brain,2542,4985,
2026-08-17,ccn-050006,mri-knee,3988,7820,
2026-08-17,ccn-050006,mri-spine,4424,8674,
2026-08-17,ccn-050006,physical-therapy,121,237,
2026-08-17,ccn-050006,prostate-biopsy,2655,5206,
2026-08-17,ccn-050006,sleep-study,2883,5653,
2026-08-17,ccn-050006,thyroid-us,1404,2752,
