date,hospital_id,procedure,cash,gross,pct_change
2026-08-16,ccn-050025,allergy-test,57,104,
2026-08-16,ccn-050025,appendectomy,28335,51518,
2026-08-16,ccn-050025,biopsy-needle,3236,5884,
2026-08-16,ccn-050025,blood-cbc,64,117,
2026-08-16,ccn-050025,blood-metabolic,174,316,
2026-08-16,ccn-050025,cardiac-cath,9760,17745,
2026-08-16,ccn-050025,carpal-tunnel,9432,17149,
2026-08-16,ccn-050025,cast-fracture,1075,1955,
2026-08-16,ccn-050025,cataract,37599,68361,
2026-08-16,ccn-050025,cesarean,53389,97070,
2026-08-16,ccn-050025,chemo-infusion,1547,2813,
2026-08-16,ccn-050025,chest-xray,425,773,
2026-08-16,ccn-050025,colonoscopy,4408,8015,
2026-08-16,ccn-050025,ct-abd-pelvis,2798,5087,
2026-08-16,ccn-050025,ct-head,1559,2834,
2026-08-16,ccn-050025,dialysis,1362,2477,
2026-08-16,ccn-050025,echocardiogram,2003,3642,
2026-08-16,ccn-050025,endoscopy,4174,7589,
2026-08-16,ccn-050025,epidural-inj,1609,2926,
2026-08-16,ccn-050025,er-level3,2093,3806,
2026-08-16,ccn-050025,er-level4,4598,8359,
2026-08-16,ccn-050025,er-level5,8104,14734,
2026-08-16,ccn-050025,gallbladder,28559,51926,
2026-08-16,ccn-050025,hearing-test,419,761,
2026-08-16,ccn-050025,hernia-repair,21732,39513,
2026-08-16,ccn-050025,hip-replacement,58623,106587,
2026-08-16,ccn-050025,hysterectomy,64894,117990,
2026-08-16,ccn-050025,iud-insertion,2955,5372,
2026-08-16,ccn-050025,iv-hydration,221,402,
2026-08-16,ccn-050025,iv-infusion,317,577,
2026-08-16,ccn-050025,joint-injection,913,1660,
2026-08-16,ccn-050025,knee-replacement,58623,106587,
2026-08-16,ccn-050025,knee-scope,17055,31010,
2026-08-16,ccn-050025,lithotripsy,13214,24025,
2026-08-16,ccn-050025,mammogram-diag,326,593,
2026-08-16,ccn-050025,mammogram-screen,364,661,
2026-08-16,ccn-050025,mri-brain,1774,3225,
2026-08-16,ccn-050025,mri-knee,2605,4736,
2026-08-16,ccn-050025,mri-spine,2232,4058,
2026-08-16,ccn-050025,physical-therapy,166,301,
2026-08-16,ccn-050025,prostate-biopsy,4412,8021,
2026-08-16,ccn-050025,shoulder-scope,30794,55989,
2026-08-16,ccn-050025,strep-test,51,92,
2026-08-16,ccn-050025,thyroid-us,1120,2036,
2026-08-16,ccn-050025,tonsillectomy,17275,31410,
2026-08-16,ccn-050025,urgent-care,175,318,
2026-08-16,ccn-050025,us-abdomen,1225,2228,
2026-08-16,ccn-050025,us-pregnancy,863,1569,
2026-08-16,ccn-050025,xray-extremity,566,1029,
2026-08-16,ccn-050025,xray-leg,356,648,
2026-08-16,ccn-050026,biopsy-needle,5093,6791,
2026-08-16,ccn-050026,blood-cbc,148,197,
2026-08-16,ccn-050026,blood-metabolic,339,452,
2026-08-16,ccn-050026,cardiac-cath,16573,22097,
2026-08-16,ccn-050026,carpal-tunnel,6837,9116,
2026-08-16,ccn-050026,cast-fracture,666,888,
2026-08-16,ccn-050026,cesarean,77421,103228,
2026-08-16,ccn-050026,chemo-infusion,1971,2628,
2026-08-16,ccn-050026,chest-xray,532,710,
2026-08-16,ccn-050026,colonoscopy,2537,3383,
2026-08-16,ccn-050026,ct-abd-pelvis,4994,6658,
2026-08-16,ccn-050026,ct-head,2786,3714,
2026-08-16,ccn-050026,dialysis,2060,2746,
2026-08-16,ccn-050026,echocardiogram,4514,6019,
2026-08-16,ccn-050026,endoscopy,2668,3558,
2026-08-16,ccn-050026,epidural-inj,2718,3624,
2026-08-16,ccn-050026,er-level3,2188,2917,
2026-08-16,ccn-050026,er-level4,7800,10400,
2026-08-16,ccn-050026,er-level5,11400,15200,
2026-08-16,ccn-050026,flu-shot,15,20,
2026-08-16,ccn-050026,hip-replacement,108334,144446,
2026-08-16,ccn-050026,iud-insertion,1064,1418,
2026-08-16,ccn-050026,iv-hydration,825,1100,
2026-08-16,ccn-050026,iv-infusion,926,1235,
2026-08-16,ccn-050026,joint-injection,1499,1999,
2026-08-16,ccn-050026,knee-replacement,108334,144446,
2026-08-16,ccn-050026,laceration,1517,2023,
2026-08-16,ccn-050026,mammogram-diag,420,560,
2026-08-16,ccn-050026,mammogram-screen,435,580,
2026-08-16,ccn-050026,mri-brain,3036,4048,
2026-08-16,ccn-050026,mri-knee,3247,4329,
2026-08-16,ccn-050026,mri-spine,3112,4149,
2026-08-16,ccn-050026,physical-therapy,164,218,
2026-08-16,ccn-050026,prostate-biopsy,3221,4295,
2026-08-16,ccn-050026,sleep-study,5535,7380,
2026-08-16,ccn-050026,strep-test,132,176,
2026-08-16,ccn-050026,thyroid-us,1016,1354,
2026-08-16,ccn-050026,urgent-care,311,415,
2026-08-16,ccn-050026,us-abdomen,1400,1866,
2026-08-16,ccn-050026,us-pregnancy,1069,1425,
2026-08-16,ccn-050026,xray-extremity,575,767,
2026-08-16,ccn-050026,xray-leg,513,684,
2026-08-16,ccn-050077,appendectomy,13922,55689,
2026-08-16,ccn-050077,biopsy-needle,1462,5847,
2026-08-16,ccn-050077,blood-cbc,28,110,
2026-08-16,ccn-050077,blood-metabolic,98,392,
2026-08-16,ccn-050077,carpal-tunnel,1064,4256,
2026-08-16,ccn-050077,cast-fracture,202,808,
2026-08-16,ccn-050077,cataract,1944,7774,
2026-08-16,ccn-050077,cesarean,11483,45931,
2026-08-16,ccn-050077,chemo-infusion,467,1869,
2026-08-16,ccn-050077,chest-xray,244,975,
2026-08-16,ccn-050077,colonoscopy,749,2998,
2026-08-16,ccn-050077,ct-abd-pelvis,2250,9000,
2026-08-16,ccn-050077,ct-head,864,3458,
2026-08-16,ccn-050077,echocardiogram,392,1567,
2026-08-16,ccn-050077,endoscopy,725,2902,
2026-08-16,ccn-050077,epidural-inj,518,2072,
2026-08-16,ccn-050077,er-level3,604,2415,
2026-08-16,ccn-050077,er-level4,971,3885,
2026-08-16,ccn-050077,er-level5,1969,7874,
2026-08-16,ccn-050077,gallbladder,12439,49755,
2026-08-16,ccn-050077,hearing-test,73,294,
2026-08-16,ccn-050077,hernia-repair,3909,15637,
2026-08-16,ccn-050077,hip-replacement,49604,198415,
2026-08-16,ccn-050077,hysterectomy,14140,56562,
2026-08-16,ccn-050077,iud-insertion,991,3966,
2026-08-16,ccn-050077,iv-hydration,494,1977,
2026-08-16,ccn-050077,iv-infusion,467,1869,
2026-08-16,ccn-050077,joint-injection,956,3823,
2026-08-16,ccn-050077,knee-replacement,49604,198415,
2026-08-16,ccn-050077,knee-scope,2964,11856,
2026-08-16,ccn-050077,laceration,851,3405,
2026-08-16,ccn-050077,lithotripsy,8236,32943,
2026-08-16,ccn-050077,mammogram-diag,168,672,
2026-08-16,ccn-050077,mammogram-screen,181,723,
2026-08-16,ccn-050077,mri-brain,913,3652,
2026-08-16,ccn-050077,mri-knee,1657,6628,
2026-08-16,ccn-050077,mri-spine,753,3013,
2026-08-16,ccn-050077,pap-smear,34,135,
2026-08-16,ccn-050077,physical-therapy,43,173,
2026-08-16,ccn-050077,shoulder-scope,3296,13184,
2026-08-16,ccn-050077,sleep-study,578,2313,
2026-08-16,ccn-050077,strep-test,28,111,
2026-08-16,ccn-050077,thyroid-us,522,2089,
2026-08-16,ccn-050077,tonsillectomy,1855,7420,
2026-08-16,ccn-050077,urgent-care,73,294,
2026-08-16,ccn-050077,us-abdomen,342,1369,
2026-08-16,ccn-050077,us-pregnancy,227,909,
2026-08-16,ccn-050077,xray-extremity,364,1454,
2026-08-16,ccn-050077,xray-leg,227,907,
2026-08-16,ccn-050100,biopsy-needle,5093,6791,
2026-08-16,ccn-050100,blood-cbc,148,197,
2026-08-16,ccn-050100,blood-metabolic,339,452,
2026-08-16,ccn-050100,cardiac-cath,16573,22097,
2026-08-16,ccn-050100,carpal-tunnel,6837,9116,
2026-08-16,ccn-050100,cast-fracture,666,888,
2026-08-16,ccn-050100,cesarean,77421,103228,
2026-08-16,ccn-050100,chemo-infusion,1971,2628,
2026-08-16,ccn-050100,chest-xray,532,710,
2026-08-16,ccn-050100,colonoscopy,2537,3383,
2026-08-16,ccn-050100,ct-abd-pelvis,4994,6658,
2026-08-16,ccn-050100,ct-head,2786,3714,
2026-08-16,ccn-050100,dialysis,2060,2746,
2026-08-16,ccn-050100,echocardiogram,4104,5472,
2026-08-16,ccn-050100,endoscopy,2668,3558,
2026-08-16,ccn-050100,epidural-inj,2718,3624,
2026-08-16,ccn-050100,er-level3,2188,2917,
2026-08-16,ccn-050100,er-level4,3900,5200,
2026-08-16,ccn-050100,er-level5,5700,7600,
2026-08-16,ccn-050100,flu-shot,15,20,
2026-08-16,ccn-050100,hip-replacement,108334,144446,
2026-08-16,ccn-050100,iud-insertion,1064,1418,
2026-08-16,ccn-050100,iv-hydration,825,1100,
2026-08-16,ccn-050100,iv-infusion,926,1235,
2026-08-16,ccn-050100,joint-injection,1499,1999,
2026-08-16,ccn-050100,knee-replacement,108334,144446,
2026-08-16,ccn-050100,laceration,1517,2023,
2026-08-16,ccn-050100,mammogram-diag,420,560,
2026-08-16,ccn-050100,mammogram-screen,435,580,
2026-08-16,ccn-050100,mri-brain,3036,4048,
2026-08-16,ccn-050100,mri-knee,3247,4329,
2026-08-16,ccn-050100,mri-spine,3112,4149,
2026-08-16,ccn-050100,physical-therapy,164,218,
2026-08-16,ccn-050100,prostate-biopsy,3221,4295,
2026-08-16,ccn-050100,sleep-study,5535,7380,
2026-08-16,ccn-050100,strep-test,132,176,
2026-08-16,ccn-050100,thyroid-us,1016,1354,
2026-08-16,ccn-050100,urgent-care,296,395,
2026-08-16,ccn-050100,us-abdomen,1400,1866,
2026-08-16,ccn-050100,us-pregnancy,1069,1425,
2026-08-16,ccn-050100,xray-extremity,575,767,
2026-08-16,ccn-050100,xray-leg,513,684,
2026-08-16,ccn-050128,biopsy-needle,1907,3179,
2026-08-16,ccn-050128,blood-cbc,2,4,
2026-08-16,ccn-050128,blood-metabolic,2,4,
2026-08-16,ccn-050128,cardiac-cath,4235,7058,
2026-08-16,ccn-050128,cesarean,11438,19064,
2026-08-16,ccn-050128,chemo-infusion,538,897,
2026-08-16,ccn-050128,chest-xray,374,624,
2026-08-16,ccn-050128,ct-abd-pelvis,4043,6738,
2026-08-16,ccn-050128,ct-head,1992,3320,
2026-08-16,ccn-050128,dialysis,853,1421,
2026-08-16,ccn-050128,echocardiogram,1768,2946,
2026-08-16,ccn-050128,epidural-inj,782,1304,
2026-08-16,ccn-050128,er-level3,972,1620,
2026-08-16,ccn-050128,er-level4,1504,2507,
2026-08-16,ccn-050128,er-level5,2270,3784,
2026-08-16,ccn-050128,hip-replacement,53143,88572,
2026-08-16,ccn-050128,iv-hydration,208,347,
2026-08-16,ccn-050128,iv-infusion,346,576,
2026-08-16,ccn-050128,joint-injection,470,783,
2026-08-16,ccn-050128,knee-replacement,53143,88572,
2026-08-16,ccn-050128,laceration,335,559,
2026-08-16,ccn-050128,lithotripsy,24250,40417,
2026-08-16,ccn-050128,mammogram-diag,203,338,
2026-08-16,ccn-050128,mammogram-screen,215,358,
2026-08-16,ccn-050128,mri-brain,2096,3493,
2026-08-16,ccn-050128,mri-knee,2096,3493,
2026-08-16,ccn-050128,mri-spine,2096,3493,
2026-08-16,ccn-050128,physical-therapy,80,133,
2026-08-16,ccn-050128,prostate-biopsy,1903,3171,
2026-08-16,ccn-050128,spinal-fusion,110378,183964,
2026-08-16,ccn-050128,strep-test,14,23,
2026-08-16,ccn-050128,thyroid-us,217,362,
2026-08-16,ccn-050128,urgent-care,207,345,
2026-08-16,ccn-050128,us-abdomen,395,658,
2026-08-16,ccn-050128,us-pregnancy,444,740,
2026-08-16,ccn-050128,xray-extremity,771,1285,
2026-08-16,ccn-050128,xray-leg,771,1285,
2026-08-16,ccn-050222,biopsy-needle,5093,6791,
2026-08-16,ccn-050222,blood-cbc,148,197,
2026-08-16,ccn-050222,blood-metabolic,339,452,
